,OBJECTID,Date,Oblast,Rayon,Hromada,City_Settl,Location__,City_Set_1,City_Set_2,GCA_NGCA__,Status,Encircled,Humanitari,admin1Pcod,admin2Pcod,admin3Pcod,admin4Pcod,Lat__autom,Long__auto,Long2,Lat2,Name
0,1.0,,,,,,,,,,,,,,,,,,,,,
1,,2022/08/04,,,,,,,,,,,,,,,,,,,,
2,,,Mykolaivska,,,,,,,,,,,,,,,,,,,
3,,,,Bashtanskyi,,,,,,,,,,,,,,,,,,
4,,,,,Bashtanska,,,,,,,,,,,,,,,,,
5,,,,,,Yavkyne,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,Явкіно,,,,,,,,,,,,,,
8,,,,,,,,,Явкино,,,,,,,,,,,,,
9,,,,,,,,,,GCA,,,,,,,,,,,,
10,,,,,,,,,,,Affected,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,https://t.me/mykolaivskaODA/2012,,,,,,,,,
13,,,,,,,,,,,,,,UA48,,,,,,,,
14,,,,,,,,,,,,,,,UA4802,,,,,,,
15,,,,,,,,,,,,,,,,UA4802001,,,,,,
16,,,,,,,,,,,,,,,,,UA4802001025,,,,,
17,,,,,,,,,,,,,,,,,,47.2774122,,,,
18,,,,,,,,,,,,,,,,,,,32.5926428,,,
19,,,,,,,,,,,,,,,,,,,,32.5926428,,
20,,,,,,,,,,,,,,,,,,,,,47.2774122,
21,,,,,,,,,,,,,,,,,,,,,,Yavkyne
