Date,Search Results ,Weights,,
2022-02-24,356000,0.0017889,,Total Search Results
2022-02-25,206000,0.0010352,,"199,000,000"
2022-02-26,106000,0.0005327,,
2022-02-27,111000,0.0005578,,
2022-02-28,142000,0.0007136,,
2022-03-01,306000,0.0015377,,
2022-03-02,236000,0.0011859,,
2022-03-03,251000,0.0012613,,
2022-03-04,200000,0.0010050,,
2022-03-05,154000,0.0007739,,
2022-03-06,158000,0.0007940,,
2022-03-07,212000,0.0010653,,
2022-03-08,138000,0.0006935,,
2022-03-09,120000,0.0006030,,
2022-03-10,191000,0.0009598,,
2022-03-11,160000,0.0008040,,
2022-03-12,165000,0.0008291,,
2022-03-13,90500,0.0004548,,
2022-03-14,104000,0.0005226,,
2022-03-15,167000,0.0008392,,
2022-03-16,154000,0.0007739,,
2022-03-17,141000,0.0007085,,
2022-03-18,187000,0.0009397,,
2022-03-19,95400,0.0004794,,
2022-03-20,95500,0.0004799,,
2022-03-21,177000,0.0008894,,
2022-03-22,140000,0.0007035,,
2022-03-23,142000,0.0007136,,
2022-03-24,136000,0.0006834,,
2022-03-25,170000,0.0008543,,
2022-03-26,116000,0.0005829,,
2022-03-27,92900,0.0004668,,
2022-03-28,172000,0.0008643,,
2022-03-29,166000,0.0008342,,
2022-03-30,162000,0.0008141,,
2022-03-31,146000,0.0007337,,
2022-04-01,171000,0.0008593,,
2022-04-02,96000,0.0004824,,
2022-04-03,102000,0.0005126,,
2022-04-04,268000,0.0013467,,
2022-04-05,157000,0.0007889,,
2022-04-06,157000,0.0007889,,
2022-04-07,140000,0.0007035,,
2022-04-08,174000,0.0008744,,
2022-04-09,94600,0.0004754,,
2022-04-10,102000,0.0005126,,
2022-04-11,159000,0.0007990,,
2022-04-12,199000,0.0010000,,
2022-04-13,141000,0.0007085,,
2022-04-14,192000,0.0009648,,
2022-04-15,189000,0.0009497,,
2022-04-16,91900,0.0004618,,
2022-04-17,93500,0.0004698,,
2022-04-18,130000,0.0006533,,
2022-04-19,244000,0.0012261,,
2022-04-20,128000,0.0006432,,
2022-04-21,135000,0.0006784,,
2022-04-22,196000,0.0009849,,
2022-04-23,148000,0.0007437,,
2022-04-24,94500,0.0004749,,
2022-04-25,155000,0.0007789,,
2022-04-26,164000,0.0008241,,
2022-04-27,223000,0.0011206,,
2022-04-28,164000,0.0008241,,
2022-04-29,165000,0.0008291,,
2022-04-30,131000,0.0006583,,
2022-05-01,104000,0.0005226,,
2022-05-02,130000,0.0006533,,
2022-05-03,142000,0.0007136,,
2022-05-04,119000,0.0005980,,
2022-05-05,137000,0.0006884,,
2022-05-06,169000,0.0008492,,
2022-05-07,95000,0.0004774,,
2022-05-08,101000,0.0005075,,
2022-05-09,173000,0.0008693,,
2022-05-10,174000,0.0008744,,
2022-05-11,375000,0.0018844,,
2022-05-12,198000,0.0009950,,
2022-05-13,154000,0.0007739,,
2022-05-14,114000,0.0005729,,
2022-05-15,101000,0.0005075,,
2022-05-16,111000,0.0005578,,
2022-05-17,149000,0.0007487,,
2022-05-18,162000,0.0008141,,
2022-05-19,134000,0.0006734,,
2022-05-20,171000,0.0008593,,
2022-05-21,136000,0.0006834,,
2022-05-22,139000,0.0006985,,
2022-05-23,138000,0.0006935,,
2022-05-24,168000,0.0008442,,
2022-05-25,162000,0.0008141,,
2022-05-26,127000,0.0006382,,
2022-05-27,134000,0.0006734,,
2022-05-28,120000,0.0006030,,
2022-05-29,108000,0.0005427,,
2022-05-30,143000,0.0007186,,
2022-05-31,545000,0.0027387,,
2022-06-01,162000,0.0008141,,
2022-06-02,155000,0.0007789,,
2022-06-03,340000,0.0017085,,
2022-06-04,127000,0.0006382,,
2022-06-05,141000,0.0007085,,
2022-06-06,151000,0.0007588,,
2022-06-07,163000,0.0008191,,
2022-06-08,142000,0.0007136,,
2022-06-09,182000,0.0009146,,
2022-06-10,166000,0.0008342,,
2022-06-11,116000,0.0005829,,
2022-06-12,156000,0.0007839,,
2022-06-13,163000,0.0008191,,
2022-06-14,131000,0.0006583,,
2022-06-15,154000,0.0007739,,
2022-06-16,124000,0.0006231,,
2022-06-17,163000,0.0008191,,
2022-06-18,124000,0.0006231,,
2022-06-19,131000,0.0006583,,
2022-06-20,196000,0.0009849,,
2022-06-21,232000,0.0011658,,
2022-06-22,201000,0.0010101,,
2022-06-23,165000,0.0008291,,
2022-06-24,159000,0.0007990,,
2022-06-25,126000,0.0006332,,
2022-06-26,126000,0.0006332,,
2022-06-27,156000,0.0007839,,
2022-06-28,211000,0.0010603,,
2022-06-29,214000,0.0010754,,
2022-06-30,208000,0.0010452,,
2022-07-01,175000,0.0008794,,
2022-07-02,131000,0.0006583,,
2022-07-03,132000,0.0006633,,
2022-07-04,403000,0.0020251,,
2022-07-05,189000,0.0009497,,
2022-07-06,204000,0.0010251,,
2022-07-07,180000,0.0009045,,
2022-07-08,183000,0.0009196,,
2022-07-09,127000,0.0006382,,
2022-07-10,139000,0.0006985,,
2022-07-11,656000,0.0032965,,
2022-07-12,219000,0.0011005,,
2022-07-13,311000,0.0015628,,
2022-07-14,347000,0.0017437,,
2022-07-15,329000,0.0016533,,
2022-07-16,498000,0.0025025,,
2022-07-17,179000,0.0008995,,
2022-07-18,208000,0.0010452,,
2022-07-19,209000,0.0010503,,
2022-07-20,317000,0.0015930,,
2022-07-21,288000,0.0014472,,
2022-07-22,291000,0.0014623,,
2022-07-23,247000,0.0012412,,
2022-07-24,243000,0.0012211,,
2022-07-25,406000,0.0020402,,
2022-07-26,310000,0.0015578,,
2022-07-27,309000,0.0015528,,
2022-07-28,414000,0.0020804,,
2022-07-29,312000,0.0015678,,
2022-07-30,274000,0.0013769,,
2022-07-31,266000,0.0013367,,
2022-08-01,456000,0.0022915,,
2022-08-02,379000,0.0019045,,
2022-08-03,377000,0.0018945,,
2022-08-04,354000,0.0017789,,
2022-08-05,366000,0.0018392,,
2022-08-06,245000,0.0012312,,
2022-08-07,264000,0.0013266,,
2022-08-08,362000,0.0018191,,
2022-08-09,514000,0.0025829,,
2022-08-10,580000,0.0029146,,
2022-08-11,598000,0.0030050,,
2022-08-12,1170000,0.0058794,,
